#Table: J/ApJ/898/84/param.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------
          |                   |        |     |  e_|    l|  e_l|     |    e| log|   lo|    lo
ID        |               Gaia|Type    | Teff|Teff|og(g)|og(g)| Mass|_Mass|H/He|gC/He|gCa/He
----------|-------------------|--------|-----|----|-----|-----|-----|-----|----|-----|------
J1013+2724| 739577567186823552|DA      |11669|  82|7.735|0.009|0.463|0.006|    |     |
J1014+0305|3835866563715176192|DA      | 5193|  22|7.975|0.023|0.566|0.019|    |     |
J1014+0401|3860751256335185408|DA      | 7518|  19|7.974|0.010|0.578|0.009|    |     |
J1014+2027| 625415030061614336|DA      | 9056|  51|7.963|0.015|0.576|0.013|    |     |
J1014+4226| 805470233890349440|DA      | 7799|  42|8.458|0.007|0.888|0.007|    |     |
J1014+5027| 847884509109410816|DA      | 7485|  56|7.995|0.018|0.590|0.016|    |     |
J1015+0306|3859871342090899328|DA      |11813|  98|8.016|0.009|0.615|0.007|    |     |
J1015+0806|3875652014008894720|DA      | 6647|  33|7.953|0.010|0.563|0.008|    |     |
J1015+0907|3876618892751168000|DAH     | 7146|  63|8.300|0.027|0.783|0.024|    |     |
J1015-0104|3830680854561582464|DA      |23517| 443|8.180|0.018|0.737|0.015|    |     |
J1016+1920| 625068134142899968|DA      |12029| 120|7.951|0.012|0.577|0.010|    |     |
J1016+1932| 625075796364911360|DA      | 9169|  56|8.009|0.016|0.604|0.014|    |     |
J1016-0119|3830623164560911872|DA      | 7806|  27|7.178|0.007|0.245|0.003|    |     |
J1018+0111|3832329434808415744|DAH     |10870|  76|8.562|0.010|0.960|0.009|    |     |
J1018+0547|3861407596057614080|DA      | 6327|  58|8.274|0.074|0.764|0.067|    |     |
J1018+1551|3888723386196630784|DA      |19226| 344|8.035|0.014|0.642|0.012|    |     |
J1018+3421| 752524965144307584|DA      | 7191|  62|9.045|0.022|1.215|0.011|    |     |
J1019+5214| 848290091460808448|DA      | 5321|  24|7.939|0.013|0.546|0.011|    |     |
J1020+0152|3832474810861495424|DA      |10357|  84|8.055|0.021|0.635|0.019|    |     |
J1020+3626| 753840603821390848|DAH     |17361| 186|8.252|0.010|0.771|0.008|    |     |
J1021+1905| 624600566824086016|DA      | 6350|  45|7.971|0.026|0.572|0.022|    |     |
J1021+2503| 726057456815979904|DA      | 8417|  72|8.051|0.025|0.626|0.022|    |     |
J1021+4257| 805697489201014272|DA      | 6398|  80|8.112|0.024|0.658|0.022|    |     |
J1022+0708|3863287692225892736|DA      | 6269|  46|8.058|0.027|0.624|0.024|    |     |
J1022+1241|3883746133280920448|DA      |19063| 168|8.018|0.010|0.632|0.008|    |     |
J1022+1328|3886816622581111552|DA      | 6646|  32|8.062|0.038|0.628|0.032|    |     |
J1022+1658|3890322415406225408|DA      | 6647|  38|8.009|0.020|0.596|0.017|    |     |
J1022+2523| 726160806613850624|DA      | 8489|  70|8.123|0.020|0.671|0.016|    |     |
J1022+4600| 833452873535333760|DA      | 7764|  34|7.487|0.010|0.341|0.005|    |     |
J1023+2407| 725741342927857664|DA      |11608|  82|8.014|0.013|0.613|0.010|    |     |
J1023+6348|1052563683861162880|DA      | 6121|  22|7.984|0.011|0.579|0.010|    |     |
J1024+8019|1133810794221801856|DA      | 7635|  56|8.010|0.014|0.599|0.012|    |     |
J1026+1439|3887433414244718464|DA      | 8984|  64|7.972|0.018|0.581|0.015|    |     |
J1027+1644|3890141958060313984|DA      | 9408| 113|8.594|0.029|0.979|0.023|    |     |
J1027+1928| 624510170646474112|DA      | 7178|  43|8.400|0.012|0.849|0.011|    |     |
J1028+0344|3857118439852847744|DA      | 8109|  98|8.089|0.020|0.649|0.018|    |     |
J1028+1105|3882547566823086848|DA      |14351| 140|7.991|0.009|0.606|0.007|    |     |
J1028+1451|3888929097950924416|DAH     | 5833|  30|7.962|0.016|0.564|0.013|    |     |
J1028+3750| 754853769426521856|DA      | 6543|  46|7.948|0.030|0.560|0.024|    |     |
J1029+0205|3855631797052747136|DA      |12236|  77|7.982|0.006|0.596|0.005|    |     |
J1029+1127|3882611201058534400|DAH     | 6814|  38|8.250|0.008|0.749|0.007|    |     |
J1029+2300| 722391440239688064|DA      | 6883|  69|8.376|0.032|0.832|0.028|    |     |
J1029+7931|1132966468074614272|DA      | 6247|  42|8.557|0.016|0.951|0.014|    |     |
J1030+0845|3863974783909961600|DA      | 6131|  22|8.007|0.022|0.593|0.019|    |     |
J1031+3234| 748517142181920768|DA      |15439| 204|8.109|0.014|0.678|0.012|    |     |
J1032+0218|3856005626711298560|DA      |10129|  48|7.960|0.010|0.577|0.009|    |     |
J1032+4104| 756515161560637952|DA      | 6830|  39|8.080|0.013|0.640|0.011|    |     |
J1032-0205|3781742343628799232|DA      | 6299|  42|8.106|0.048|0.655|0.042|    |     |
J1033+2839| 729219716681441280|DA      | 9374|  44|7.933|0.015|0.560|0.012|    |     |
J1034+0327|3856950175919062144|DAH     |15109| 167|8.775|0.010|1.090|0.006|    |     |
J1034+3949| 755466845943050368|DA      | 6956|  99|9.224|0.039|1.278|0.013|    |     |
J1035+0727|3862830334039617408|DA      | 7195|  54|8.079|0.032|0.641|0.028|    |     |
J1035+2126| 721244821406496640|DAH     | 6949|  46|8.087|0.014|0.645|0.013|    |     |
J1037+4227| 780712285751716224|DA      | 6362|  42|8.451|0.028|0.881|0.025|    |     |
J1037+4857| 834234385783616640|DA      |20546| 264|8.157|0.011|0.717|0.010|    |     |
J1037+6304|1049324629980448256|DA      | 7370|  32|7.615|0.015|0.392|0.010|    |     |
J1038+0202|3855792630692650112|DA      | 7128|  46|8.083|0.030|0.643|0.027|    |     |
J1040+3943| 779223787525884928|DA      | 7899|  56|7.945|0.020|0.562|0.016|    |     |
J1041+6307|1055273537642488576|DA      |23996| 222|8.456|0.007|0.909|0.007|    |     |
J1042+2412| 723319324969842304|DA      | 6388|  64|8.416|0.053|0.858|0.047|    |     |
J1042+4057| 779588657882981120|DA      |11005| 156|7.957|0.015|0.578|0.013|    |     |
J1044+0214|3809230860172408320|DA      | 7250|  28|8.057|0.016|0.627|0.014|    |     |
J1044+5744| 854393484803051776|DA      |29255| 507|7.774|0.017|0.532|0.010|    |     |
J1047+3453| 750469737393655936|DA      | 8253|  57|7.316|0.012|0.285|0.005|    |     |
J1048+2113|3989101543613421184|DA      | 6796|  70|8.448|0.064|0.880|0.057|    |     |
J1048+6334|1055313016981775488|DA      | 5151|  14|7.950|0.008|0.551|0.006|    |     |
J1049+2754| 731177607588663552|DA      |13063| 106|7.972|0.006|0.592|0.005|    |     |
J1049+4752| 832162626703637888|DA      | 5279|  38|7.949|0.065|0.551|0.054|    |     |
J1049-0008|3806277464565712256|DA      | 6787|  42|7.905|0.032|0.536|0.026|    |     |
J1050+3225| 737619062099922688|DA      | 5615|  19|8.039|0.010|0.609|0.009|    |     |
J1050+3306| 737721346745881728|DA      | 5632|  46|7.955|0.041|0.559|0.033|    |     |
J1050+3315| 738102190085868672|DA      |10966|  96|7.972|0.014|0.587|0.012|    |     |
J1050+3426| 738375899762150912|DA      | 6403|  35|7.941|0.023|0.555|0.018|    |     |
J1053+2425|3996172640334271872|DA      | 5902|  23|8.247|0.011|0.744|0.010|    |     |
J1055+2111|3988212592756945152|DAH     | 6050|  24|8.095|0.011|0.646|0.009|    |     |
J1055+2525| 729726763340729600|DAH     | 7069|  35|8.223|0.031|0.732|0.028|    |     |
J1055+3506| 762520556632292480|DA      |14351| 104|8.402|0.013|0.862|0.011|    |     |
J1055+5241| 837242890116333312|DA      | 8888|  64|8.316|0.018|0.797|0.016|    |     |
J1056+2336|3989883777417007232|DA      | 5217|  16|7.941|0.013|0.546|0.011|    |     |
J1056+3852| 775531009004593664|DA      | 5817|  30|8.205|0.016|0.716|0.014|    |     |
J1057+0411|3815759279181364864|DAH     | 7871|  42|8.057|0.013|0.629|0.012|    |     |
J1057+1158|3871736820606012928|DA      | 8226|  75|8.121|0.020|0.669|0.018|    |     |
J1059-1748|3556190937783724928|DA      | 6428|  64|7.960|0.034|0.566|0.028|    |     |
J1101+1942|3984813379545559424|DA      | 6459|  50|8.166|0.050|0.694|0.045|    |     |
J1102+4030| 777221198894621440|DA      | 5086|  24|7.888|0.018|0.515|0.015|    |     |
J1103+0902|3866845986727270400|DA      | 6086|  32|8.311|0.028|0.787|0.026|    |     |
J1103+3935| 776981269136616960|DAZ     | 4971|  16|7.905|0.011|0.523|0.009|    |     |
J1104-1837|3552845261339955200|DA      | 8038|  50|7.987|0.010|0.587|0.008|    |     |
J1105+0016|3804239558419007744|DA      |13071| 122|8.260|0.006|0.769|0.005|    |     |
J1106+1802|3983606596814071680|DA      |12887| 271|8.834|0.018|1.120|0.011|    |     |
J1106+4518| 782378320745502336|DA      | 7485|  36|8.402|0.009|0.851|0.008|    |     |
J1106+6210| 862260868456553856|DA      |10005|  78|8.344|0.012|0.818|0.011|    |     |
J1107+0405|3815200997858084480|DA      |13063| 170|8.883|0.011|1.144|0.007|    |     |
J1107+5246| 842498482680906496|DA      | 7157|  59|8.037|0.024|0.614|0.021|    |     |
J1107+5246| 842504358196167680|DA      | 6720|  48|8.021|0.024|0.603|0.021|    |     |
J1107+5958| 861050512312844672|DA      |17766| 238|8.089|0.010|0.671|0.008|    |     |
J1107-0220|3791246075462610304|DA      |10338|  87|8.260|0.017|0.763|0.015|    |     |
J1107-1607|3559496413333223936|DAH:    |15273| 236|8.978|0.016|1.190|0.008|    |     |
J1108+1843|3984076534955978880|DA      |10809|  77|8.434|0.019|0.878|0.017|    |     |
J1108+3021| 732841233105592320|DA      | 6842|  88|8.507|0.045|0.919|0.039|    |     |
J1109+5512| 843807902246527232|DA      | 7050|  27|8.585|0.006|0.970|0.005|    |     |
J1110+0054|3810397128476695424|DA      | 8787|  70|8.107|0.016|0.662|0.014|    |     |
J1110+2344|3995295401850242688|DA      |10400|  50|7.972|0.013|0.585|0.011|    |     |
J1110+3959| 765404128955927424|DA      |10385|  58|8.011|0.014|0.608|0.012|    |     |
J1111+4718| 789339608048607232|DA      |12547|  92|8.264|0.006|0.770|0.005|    |     |
J1114+3808| 763893885310438784|DA      |10602|  65|8.005|0.013|0.605|0.011|    |     |
J1115+0033|3810099989754827136|DA      | 4989|   6|7.524|0.009|0.335|0.005|    |     |
J1115+2315|3992108467396622464|DA      | 6521|  32|7.116|0.047|0.221|0.017|    |     |
J1116+0627|3817262208497857024|DA      | 6384|  10|7.982|0.005|0.579|0.004|    |     |
J1116+0925|3915111042492943360|DA      | 5367|  26|8.030|0.018|0.602|0.015|    |     |
J1116-1035|3566532561902107648|DA      | 5713|  44|8.068|0.035|0.628|0.031|    |     |
J1116-1035|3566532561902107904|DA      | 6446|  41|7.900|0.023|0.532|0.018|    |     |
J1116-1252|3565057738851555840|DA      | 8083|  60|8.012|0.023|0.602|0.020|    |     |
J1117+1821|3971863297233655040|DA      | 9597|  86|8.667|0.042|1.023|0.032|    |     |
J1117+4851| 789712823515276416|DA      | 6588|  42|7.889|0.022|0.526|0.017|    |     |
J1119+0220|3810933247769901696|DA      |12205|  92|8.048|0.005|0.635|0.005|    |     |
J1119+3224| 757272896870658176|DA      | 6023|  37|8.209|0.026|0.720|0.024|    |     |
J1120+3745| 763955591105229056|DA      | 7862|  32|7.974|0.018|0.579|0.015|    |     |
J1121+1553|3967492742808436864|DA      | 7391|  49|7.946|0.027|0.561|0.022|    |     |
J1121+3756| 763981296484951936|DA      | 9436|  44|8.066|0.007|0.639|0.006|    |     |
J1122+2839|4022081429247669632|DA      | 5646|  27|8.164|0.013|0.688|0.012|    |     |
J1122+3818| 764086604787758208|DA      |15183| 192|7.958|0.013|0.589|0.010|    |     |
J1122+4342| 783880704600816000|DA      |27085| 410|8.340|0.014|0.841|0.012|    |     |
J1122+4708| 788768476168350976|DA      | 6307|  16|8.214|0.019|0.724|0.017|    |     |
J1123+0956|3915026861134449664|DAH     | 9323|  79|8.251|0.021|0.755|0.019|    |     |
J1123+5844| 857552239974460160|DA      | 6429|  46|7.984|0.026|0.580|0.021|    |     |
J1125+4223| 771517005584473600|DA      | 9512|  42|8.183|0.008|0.712|0.007|    |     |
J1125+5419| 842958082837662080|DA      |14566| 104|7.926|0.007|0.570|0.005|    |     |
J1126+0906|3914160793864337280|DAH     |10639| 111|8.781|0.019|1.090|0.013|    |     |
J1126+1433|3967110520783248640|DA      | 6232|  44|7.961|0.020|0.566|0.017|    |     |
J1126+5919| 859082970614616448|DA      |10364|  22|8.633|0.003|1.004|0.003|    |     |
J1127+0623|3814445324131846272|DA      | 8475|  60|7.980|0.014|0.584|0.012|    |     |
J1128+0736|3913666009336762624|DA      | 6541|  54|8.282|0.035|0.770|0.032|    |     |
J1128+1825|3976920329166692736|DA      | 7113|  45|8.143|0.022|0.680|0.019|    |     |
J1128+4150| 771045212017101952|DA      | 8990|  61|8.057|0.017|0.632|0.014|    |     |
J1130+1002|3914686699729551744|DA      | 5085|  49|7.935|0.029|0.542|0.024|    |     |
J1131+0643|3910338303034941824|DA      | 7550|  34|7.896|0.014|0.534|0.011|    |     |
J1131+4920| 789242022082351616|DA      | 6043|  30|8.166|0.019|0.692|0.017|    |     |
J1131+4938| 790014605097236224|DA      |10142|  32|7.466|0.010|0.344|0.005|    |     |
J1132+2328|3993006940195159552|DA      | 7524|  60|7.933|0.022|0.554|0.017|    |     |
J1132+3634| 759949799663166464|DA      | 8826|  62|7.925|0.014|0.554|0.011|    |     |
J1132-0532|3785855994584716288|DA      | 6828|  60|8.329|0.034|0.802|0.031|    |     |
J1133+1839|3977279976843578752|DA      |11011| 100|8.443|0.028|0.884|0.025|    |     |
J1133+6243| 862946654474456832|DA+DC   | 6725|  28|7.519|0.009|0.349|0.005|    |     |
J1134+6108| 859567752163281792|DA      | 7477|  22|7.970|0.006|0.576|0.005|    |     |
J1135+6429| 864111582748403968|DA      | 8903|  86|8.564|0.018|0.959|0.014|    |     |
J1136+0802|3910941183300119808|DA      | 5299|  28|7.777|0.019|0.457|0.014|    |     |
J1136+1530|3972493871447452032|DA      | 7278|  44|7.907|0.020|0.539|0.016|    |     |
J1136+2901|4019392852735219840|DA      |22467| 333|7.906|0.013|0.578|0.010|    |     |
J1137+2041|3979070527235441792|DA      | 7702|  62|7.896|0.019|0.534|0.015|    |     |
J1137+2947|4019458647338779648|DA      |21827|  45|8.549|0.002|0.965|0.002|    |     |
J1137+3117|4024105492715825152|DA      | 5967|  48|8.078|0.035|0.635|0.030|    |     |
J1137+5740| 845982667526493440|DAH     | 7586|  38|8.160|0.010|0.693|0.008|    |     |
J1138+1323|3917811443050820736|DA      | 6680|  53|8.217|0.046|0.727|0.041|    |     |
J1138+3610| 765628876004078464|DA      | 6971| 132|8.946|0.073|1.171|0.040|    |     |
J1139+2613|4017476365313408512|DA      | 6570|  34|8.258|0.015|0.754|0.014|    |     |
J1139+4205| 769375702394078208|DA      |11568|  58|8.010|0.013|0.611|0.011|    |     |
J1140+0112|3799009353404271488|DA      | 9524|  53|8.015|0.008|0.608|0.007|    |     |
J1140+2322|3980865789203927680|DA      |11854| 222|9.479|0.049|1.358|0.020|    |     |
J1141-0132|3793871056394569600|DA      | 7372|  66|8.381|0.024|0.837|0.022|    |     |
J1142+1538|3972360517007764096|DA      | 5727|  42|8.187|0.035|0.704|0.032|    |     |
J1142-0208|3793038176336413568|DA      | 7248|  84|8.431|0.032|0.870|0.029|    |     |
J1143+7036|1062419637373273728|DA      | 6032|  36|7.997|0.026|0.586|0.023|    |     |
J1143-0131|3793132257595347200|DA      | 6614|  34|8.365|0.009|0.825|0.008|    |     |
J1144+3641|4032338708799508096|DA      |13380| 133|7.150|0.009|0.267|0.003|    |     |
J1144+6629|1056998259069523584|DAH     | 6717|  30|7.788|0.010|0.472|0.007|    |     |
J1145+1523|3924625975601987968|DA      | 5121|  30|7.943|0.053|0.546|0.044|    |     |
J1145+3149|4021565827014024576|DA      |16053| 116|8.026|0.005|0.630|0.005|    |     |
J1145+6305| 863131372427958912|DA      | 5524|  14|7.928|0.006|0.542|0.005|    |     |
J1146+0514|3897015868534544000|DA      | 6600|  30|7.340|0.011|0.284|0.005|    |     |
J1148+1830|3974868644764927744|DA      |27019| 380|7.916|0.014|0.595|0.010|    |     |
J1148+3541|4032410520652747648|DA      | 6648|  37|8.036|0.017|0.613|0.015|    |     |
J1150+0342|3895853993981558400|DA      | 5897|  18|8.064|0.014|0.627|0.013|    |     |
J1150+6831|1058284412796260480|DA      | 6709|  14|8.269|0.003|0.762|0.003|    |     |
J1151+4047| 768139786900195456|DA      |14739| 319|7.969|0.018|0.594|0.014|    |     |
J1151+5411| 840622479622035712|DA      | 9536|  41|7.954|0.008|0.572|0.007|    |     |
J1152+1803|3974607884414675584|DA      | 6960|  53|8.022|0.027|0.605|0.023|    |     |
J1153-0312|3601778888894719616|DA      | 7273|  53|7.904|0.022|0.537|0.017|    |     |
J1154+3650|4031828157446980608|DA      |26115| 410|9.122|0.016|1.250|0.006|    |     |
J1154+3749|4034132866962718848|DA      | 7937|  65|8.013|0.019|0.602|0.017|    |     |
J1156+0503|3896442675083660288|DA      | 8312|  63|8.063|0.020|0.634|0.017|    |     |
J1157+0854|3899975238440888064|DA      | 6149|  28|7.447|0.015|0.319|0.008|    |     |
J1157+5110| 791138993175412480|DA      |12119| 130|7.989|0.010|0.599|0.008|    |     |
J1200+4335|1537794524729363712|DA      | 7788|  36|7.867|0.009|0.518|0.007|    |     |
J1200+4833|1546270625514967168|DA      | 8222|  49|7.961|0.017|0.572|0.014|    |     |
J1201+0847|3900013579612540672|DAH     | 7208|  64|8.261|0.040|0.757|0.036|    |     |
J1202+4929|1546780420950246912|DA:     | 4838|  42|7.905|0.044|0.522|0.037|    |     |
J1202+5344|1549208138324951936|DA      | 8307|  72|8.462|0.017|0.892|0.015|    |     |
J1203-0023|3698872156539379968|DA      |20081| 216|8.342|0.009|0.832|0.008|    |     |
J1204+6259|1582991152779542400|DA      | 6233|  40|8.128|0.020|0.668|0.018|    |     |
J1207+3953|1536034236678159232|DA      | 8685|  58|8.053|0.015|0.628|0.013|    |     |
J1207+6855|1682022481467013504|DA      |12246| 101|8.250|0.008|0.761|0.007|    |     |
J1208+0312|3893651289938122496|DA      | 6086|  34|8.040|0.027|0.613|0.024|    |     |
J1208+0845|3905035495893288448|DA      | 4922|  18|7.876|0.014|0.507|0.012|    |     |
J1208+2343|4001862578644425344|DA      | 8458|  75|8.206|0.024|0.724|0.021|    |     |
J1208+5429|1573121554156399872|DA      | 7850|  72|8.037|0.016|0.617|0.014|    |     |
J1209+0939|3905948159264050432|DA      | 6163|  46|8.506|0.022|0.918|0.020|    |     |
J1210+2214|4001466277717538432|DAH     |12640| 152|8.431|0.015|0.879|0.014|    |     |
J1211+0724|3904628406009296896|DA      | 5222|  10|7.925|0.006|0.537|0.005|    |     |
J1211+2053|3951770649948609920|DA      | 6687|  30|7.166|0.022|0.235|0.008|    |     |
J1211+3653|4030292070983358208|DA      | 9963|  66|8.054|0.014|0.632|0.013|    |     |
J1211+4953|1548117972546002560|DA      | 5558|  27|8.035|0.019|0.606|0.017|    |     |
J1211-0242|3598349645270793984|DA      | 7677|  52|8.539|0.024|0.942|0.021|    |     |
J1212+4345|1538365922883198336|DA      | 5405|  37|8.068|0.031|0.625|0.027|    |     |
J1213+1140|3908299636678454784|DA      |15303| 166|8.754|0.011|1.079|0.008|    |     |
J1213+3148|4014667186119082624|DA      |11922|  75|7.998|0.008|0.605|0.006|    |     |
J1214-0142|3694595296825212288|DA      | 5136|  37|8.015|0.030|0.590|0.026|    |     |
J1215+0948|3905533368502667520|DA      | 8157|  77|7.989|0.024|0.589|0.020|    |     |
J1215+0948|3905534918987016576|DA      | 9391|  82|8.372|0.021|0.834|0.019|    |     |
J1215+4630|1545050717357814272|DA      | 6735|  26|8.104|0.008|0.655|0.007|    |     |
J1215-0056|3698040337339931776|DAH     | 6588|  59|8.271|0.036|0.763|0.032|    |     |
J1216+0338|3893925965982400384|DA      | 5942|  34|7.981|0.032|0.576|0.027|    |     |
J1217+0828|3902183809407583872|DAH     |18651| 266|8.728|0.012|1.067|0.009|    |     |
J1217+3044|4013798537573517568|DA      | 7119|  58|7.948|0.031|0.562|0.025|    |     |
J1217+3226|4016204440813547520|DA      | 7270|  60|7.898|0.021|0.533|0.017|    |     |
J1217+6404|1584734595969095424|DA      | 7403|  48|7.312|0.014|0.280|0.006|    |     |
J1218+0320|3701701509194344576|DA      |13925| 156|7.990|0.011|0.604|0.009|    |     |
J1218+2545|4008511467191955840|DA      |16099| 224|8.460|0.013|0.902|0.011|    |     |
J1219+4015|1533299819978845312|DA      | 6437|  41|7.999|0.024|0.589|0.021|    |     |
J1219+5827|1575107070293783296|DA      | 9048|  56|7.944|0.010|0.565|0.009|    |     |
J1220+4414|1538625407627245056|DA      | 7092|  28|8.447|0.008|0.880|0.007|    |     |
J1221+3306|4016670251491467520|DA      | 7716|  90|7.965|0.023|0.573|0.018|    |     |
J1221+5320|1572216243769902336|DA      | 7555|  80|8.376|0.022|0.834|0.020|    |     |
J1222-0243|3693488019896536704|DA      |11210|  84|8.060|0.011|0.639|0.010|    |     |
J1224-0018|3696633688303809664|DA      | 6541|  34|8.096|0.010|0.649|0.009|    |     |
J1225+1522|3945304834382891008|DA      | 6565|  71|8.539|0.036|0.940|0.030|    |     |
J1226+1949|3949023868038967808|DA      | 6770|  64|8.326|0.043|0.799|0.038|    |     |
J1226+3513|1518943638389520384|DA      | 5089|  20|7.806|0.011|0.470|0.009|    |     |
J1226+3632|1519362376225775744|DA      | 5697|  41|8.056|0.037|0.620|0.032|    |     |
J1227+0407|3707668520142907392|DA      | 7681|  62|8.177|0.020|0.703|0.018|    |     |
J1227+3150|4015547856277853824|DA      | 6563|  20|7.971|0.007|0.573|0.006|    |     |
J1228+0022|3696778892558087552|DA      | 9323|  38|7.994|0.006|0.595|0.005|    |     |
J1228+2056|3952478391839564928|DAZ     | 6048|  18|8.038|0.009|0.611|0.008|    |     |
J1228-0247|3693624423762089216|DA      | 7363|  58|7.994|0.018|0.589|0.015|    |     |
J1229+4126|1534719152051775616|DAH     | 6305|  47|7.942|0.037|0.555|0.030|    |     |
J1231+0531|3708253980021111168|DA      | 8443|  60|8.013|0.015|0.604|0.012|    |     |
J1231+3924|1533568375694548480|DA      | 5643|  34|8.151|0.019|0.680|0.017|    |     |
J1231-0132|3695495693769418112|DA      |19858| 232|7.492|0.010|0.391|0.005|    |     |
J1233+0607|3708578473389974528|DA      | 5400|  16|8.256|0.009|0.747|0.009|    |     |
J1233+2825|4010592357371458944|DA      | 5898|  32|8.246|0.024|0.743|0.023|    |     |
J1233+6745|1682417167486191360|DA      | 9626|  62|7.799|0.014|0.488|0.010|    |     |
J1234+0109|3697125646741428224|DA      | 5244|  38|8.046|0.035|0.610|0.031|    |     |
J1234+0547|3708366954839619328|DA      | 7560|  46|8.414|0.010|0.859|0.009|    |     |
J1234+1503|3933386712453327360|DAweak  | 6116|  22|8.148|0.019|0.680|0.017|    |     |
J1234+5808|1577900791900994688|DA      |13137|  93|8.042|0.008|0.633|0.006|    |     |
J1234+6045|1583023618437189504|DA      | 6987|  45|7.936|0.014|0.554|0.011|    |     |
J1234+6605|1680532535836237440|DA      | 5308|  36|8.006|0.022|0.586|0.020|    |     |
J1235+2318|3958889751516035200|DA      | 7785|  53|7.988|0.015|0.587|0.013|    |     |
J1237+3448|1518352719609121280|DA      | 8967|  73|8.274|0.014|0.769|0.013|    |     |
J1238+3933|1521599470071180672|DA      | 6558|  48|8.240|0.020|0.742|0.018|    |     |
J1238+4931|1544353553970169728|DA      | 6501|  56|8.348|0.031|0.813|0.028|    |     |
J1238-0045|3695839596094423296|DA      | 6506|  40|8.068|0.022|0.632|0.020|    |     |
J1239+4525|1541286711100812160|DA      | 6415|  12|8.317|0.004|0.792|0.004|    |     |
J1240+1807|3935942939548822272|DA      | 5474|  22|8.029|0.010|0.602|0.009|    |     |
J1240-0310|3682835848166848896|DA      | 9988|  36|8.399|0.006|0.853|0.005|    |     |
J1240-2317|3501922067493606272|DA      | 5500|  16|7.044|0.009|0.192|0.003|    |     |
J1241+4706|1542933401563275136|DA      | 9378|  46|7.954|0.011|0.572|0.009|    |     |
J1241-0733|3676222491884053376|DA      | 9800|  46|7.980|0.015|0.588|0.013|    |     |
J1241-1506|3526928874624208128|DAH     | 7917| 104|8.524|0.026|0.932|0.022|    |     |
J1242+1123|3927653893186082176|DA      | 6384|  38|8.260|0.025|0.754|0.023|    |     |
J1242+2733|3962296416495937152|DA      | 5664|  26|8.162|0.012|0.687|0.011|    |     |
J1242+6542|1680452683804651520|DA      | 6673|  27|8.026|0.009|0.606|0.008|    |     |
J1242-0211|3683074094297008128|DA      | 6102|  36|8.043|0.021|0.614|0.018|    |     |
J1243+4805|1543370904111505408|DA      |12750| 101|8.569|0.008|0.967|0.007|    |     |
J1243+6712|1682144424177509888|DA:     | 7079|  66|8.365|0.024|0.825|0.022|    |     |
J1244-0119|3683519503881169920|DA      |22816| 197|7.251|0.010|0.334|0.003|    |     |
J1244-1947|3503786766199868416|DA      | 6758|  53|8.378|0.026|0.834|0.024|    |     |
J1245+1205|3928077827935031168|DA      | 6573|  37|8.036|0.025|0.612|0.021|    |     |
J1245-1837|3521882906526249088|DA      | 6918|  45|8.278|0.028|0.768|0.026|    |     |
J1247+1442|3930922058356114560|DA      |10482|  29|7.957|0.005|0.576|0.004|    |     |
J1247-0111|3683627840135415808|DA      | 7036|  20|8.012|0.006|0.599|0.006|    |     |
J1247-1248|3528847870307147136|DA      |13003|  57|8.042|0.004|0.633|0.004|    |     |
J1248+1222|3928101738016062336|DA      | 7257|  44|7.942|0.023|0.558|0.018|    |     |
J1248+1230|3928119295842399360|DA      | 6614|  54|8.405|0.021|0.851|0.019|    |     |
J1248+4153|1528190393741232000|DA      |12238| 105|7.973|0.009|0.591|0.008|    |     |
J1252+1756|3940955205038857728|DA      |19809| 264|7.879|0.012|0.557|0.008|    |     |
J1253+0355|3704624487842182656|DA      | 6402|  32|8.072|0.021|0.633|0.018|    |     |
J1254+2054|3942685179209931008|DA      | 6773|  50|8.229|0.024|0.735|0.022|    |     |
J1254+4918|1555410036744248832|DAH     | 6547|  69|8.284|0.029|0.771|0.027|    |     |
J1256+1355|3929872707650824320|DA      | 6099|  39|8.009|0.033|0.593|0.028|    |     |
J1256+1551|3931506719368273792|DA      | 8644|  98|8.381|0.020|0.839|0.018|    |     |
J1256+1839|3941103359935056640|DA      | 6605|  56|8.222|0.038|0.730|0.035|    |     |
J1257+2201|3944400490365194368|DA      |46171| 408|7.941|0.006|0.650|0.004|    |     |
J1257+2312|3956630388264212992|DA      | 5923|  60|8.100|0.051|0.649|0.044|    |     |
J1257+2911|1464134289414972288|DA      | 6797|  36|7.965|0.015|0.571|0.012|    |     |
J1257+3414|1515693894335906688|DAH     | 9557|  40|8.445|0.008|0.883|0.007|    |     |
J1257+5127|1557524191442926336|DA      | 7473|  52|8.450|0.023|0.883|0.021|    |     |
J1258+5014|1555883930548870400|DA      | 8243|  30|8.120|0.006|0.669|0.006|    |     |
J1259+0431|3705070756419217408|DA      |21754| 288|7.949|0.012|0.600|0.009|    |     |
J1300+0130|3690395231125833600|DA      | 5385|  11|7.992|0.008|0.578|0.007|    |     |
J1300+0328|3704392873140270336|DA      | 5668|  14|8.204|0.005|0.714|0.005|    |     |
J1300+0836|3733693754214402816|DA      | 6167|  48|8.183|0.027|0.703|0.024|    |     |
J1300+1817|3940853397134158848|DA      | 9183|  62|7.535|0.014|0.366|0.008|    |     |
J1300+5904|1578748824604827648|DAH     | 6132|  35|7.965|0.015|0.568|0.012|    |     |
