#Table: J/ApJ/898/84/param.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------
          |                   |        |     |  e_|    l|  e_l|     |    e| log|   lo|    lo
ID        |               Gaia|Type    | Teff|Teff|og(g)|og(g)| Mass|_Mass|H/He|gC/He|gCa/He
----------|-------------------|--------|-----|----|-----|-----|-----|-----|----|-----|------
J0208+2514| 104648944047154432|DA      |18836| 135|7.566|0.006|0.414|0.003|    |     |
J0208-0549|2490695859013226240|DA      | 6614|  40|8.056|0.020|0.624|0.018|    |     |
J0209-0140|2494399362068211328|DA      | 8967|  70|7.910|0.012|0.545|0.010|    |     |
J0210+6500| 515466135029128576|DA      | 8005| 104|8.466|0.023|0.894|0.020|    |     |
J0211+2115|  99498964725981440|DAH     |12243| 134|8.753|0.010|1.076|0.007|    |     |
J0211+2613| 106241174322991360|DA      |10091|  80|8.619|0.017|0.994|0.014|    |     |
J0211-0620|2487975808980333184|DA      | 7780|  80|8.333|0.024|0.806|0.022|    |     |
J0212+3020| 300313218667865344|DA      | 6614|  48|8.068|0.029|0.632|0.025|    |     |
J0212-0040|2494852597081575808|DA      | 6035|  38|8.271|0.021|0.760|0.019|    |     |
J0214-0505|2488226252817987584|DAH     | 9007|  70|8.475|0.014|0.902|0.013|    |     |
J0215+4453| 352179415533582080|DAZ     | 6516|  64|8.132|0.051|0.672|0.045|    |     |
J0217+3234| 325134624944612992|DA      | 7388|  40|8.405|0.013|0.853|0.011|    |     |
J0218+4648| 353917571618022784|DA      | 7212|  60|7.957|0.018|0.567|0.015|    |     |
J0219-0820|2486189510606565760|DA      | 6492|  54|8.436|0.035|0.872|0.031|    |     |
J0221+0445|2516606022320239104|DA      | 7252|  17|8.085|0.005|0.644|0.005|    |     |
J0223+2227|  99915890086770176|DA      |15795|  98|8.033|0.009|0.633|0.007|    |     |
J0223+2629| 103440095437050752|DA      | 7542|  57|7.943|0.018|0.560|0.014|    |     |
J0223-0459|2489533370280291584|DA      |10354|  50|8.110|0.011|0.668|0.010|    |     |
J0224+2325| 101673523847748736|DA      | 4983|  32|7.850|0.025|0.493|0.020|    |     |
J0224-0242|2490455242060751360|DA      | 5252|  61|8.078|0.038|0.630|0.034|    |     |
J0225+0545|2517080495947872896|DA      | 7267|  42|7.949|0.028|0.563|0.022|    |     |
J0225-1756|5131731035268115584|DA      | 6064|  24|8.032|0.016|0.607|0.014|    |     |
J0227+0023|2501224305619721984|DA      |11617| 167|7.978|0.013|0.592|0.011|    |     |
J0227+4424| 341432690100603904|DA      |14437| 104|8.008|0.010|0.616|0.008|    |     |
J0230+0515|2516322146457318144|DA      |18372| 400|7.848|0.016|0.538|0.012|    |     |
J0234+2407| 102038286830643840|DA      | 5499|  25|8.012|0.022|0.592|0.019|    |     |
J0234+2802| 127700269747929344|DA      | 5510|  32|8.051|0.035|0.616|0.031|    |     |
J0234-0406|2489275328645218560|DA      |14941| 173|8.161|0.013|0.709|0.011|    |     |
J0234-0511|2488960249844340352|DA      |12635|  77|8.554|0.005|0.957|0.004|    |     |
J0235+0118|2502097283492466560|DA:     | 6770|  28|8.002|0.006|0.592|0.006|    |     |
J0238+2211|  89512001827263616|DA      |18353| 222|7.783|0.018|0.505|0.013|    |     |
J0239+2609| 126342377182577408|DA      | 5605|  14|8.030|0.005|0.604|0.005|    |     |
J0239+7300| 545997618721866624|DA      | 7857|  44|7.937|0.011|0.558|0.009|    |     |
J0240+2701| 126972461769858816|DA      | 5316|  23|8.415|0.013|0.853|0.012|    |     |
J0240+3142| 133116227803380224|DA      | 7229|  34|8.075|0.008|0.638|0.007|    |     |
J0241+7442| 548423278811480960|DA      | 8952|  67|7.983|0.010|0.587|0.008|    |     |
J0245+2825| 128707181880407680|DA      | 5145|  34|7.931|0.031|0.540|0.025|    |     |
